Property_Address,Tax_Year,Property_Class,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Sale_Price
11236 S SACRAMENTO AVE,2013,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1136.0,3750.0,46.0,-87.6962642,41.68865200000001,234900
5238 W NICHOLAS CRT,2006,278,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,2779.0,8775.0,9.0,-87.7464417,41.5761908,377500
4812 N OZARK AVE NORRIDGE,2018,202,1.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,981.0,5166.0,56.0,-87.82082228,41.96748209,234000
1138 NORTH SHORE 1S,2006,299,,,,,,,,,,,,-87.659864,42.003934,225000
10112 HARNEW RD E,2005,203,1-story,5.0,2.0,Slab basement,0.0,No,1.0,0.0,1025.0,7514.0,54.0,-87.7425573,41.7083953,186430
17139 S PAXTON AV,2005,278,2-story,8.0,4.0,Partial basement,1.0,Yes,2.0,1.0,2414.0,7950.0,30.0,-87.5682037,41.5839344,259900
1316  KLEIN DR STREAMWOOD,2018,203,1.0,6.0,4.0,2.0,0.0,2.0,1.0,1.0,1060.0,7900.0,45.0,-88.15097454,42.03411444,142000
690  GARLAND AVE WINNETKA,2018,206,2.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,2272.0,9230.0,88.0,-87.73047702,42.09676394,1025000
2120  SEWARD ST EVANSTON,2018,202,1.0,4.0,2.0,3.0,0.0,2.0,1.0,0.0,856.0,4059.0,60.0,-87.70342306,42.02899028,50000
1475  CIRCLE CT ELK GROVE VILLAGE,2018,295,2.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,1578.0,2352.0,35.0,-88.04042228,42.00722152,155000
9135 S 53RD CT,2014,205,2-story,6.0,4.0,Full basement,0.0,Yes,2.0,1.0,1693.0,3125.0,59.0,-87.7541694,41.7260303,240000
1811  DUMONT LN SCHAUMBURG,2018,295,2.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,1320.0,1800.0,44.0,-88.12457931,42.04409997,178000
4833 GRAND AVE,2011,299,,,,,,,,,,,,-87.90102940000001,41.8011793,510000
1489  WINSLOWE DR PALATINE,2018,299,,,,,,,1.0,,,555024.0,10.0,-88.02055431,42.13442657,77000
5320 N SHERIDAN 2311,2015,299,,,,,,,,,,,,-87.65545999999998,41.979076,140500
7631 EAST LAKE TER 3C,2005,299,,,,,,,,,,,,-87.66423940000001,42.0202044,285000
13201 HUNTMASTER LN,2007,208,2-story,9.0,4.0,Full basement,1.0,Yes,3.0,0.0,3987.0,31798.0,12.0,-87.9395694,41.6454768,600000
8006 S HERMITAGE,2007,211,2-story,15.0,6.0,Partial basement,0.0,No,3.0,0.0,2948.0,3750.0,78.0,-87.66726369999998,41.7481853,249900
2211 N LATROBE AVE,2013,211,2-story,6.0,4.0,Full basement,0.0,No,2.0,0.0,2028.0,4725.0,90.0,-87.7570458,41.920899,165000
6328 N LEADER,2006,203,1-story,5.0,2.0,Full basement,1.0,Yes,1.0,0.0,1268.0,5572.0,50.0,-87.7513752,41.995406,1000000
5842 N KENNETH AVE,2004,203,1-story,5.0,4.0,Full basement,1.0,No,2.0,2.0,1490.0,4960.0,79.0,-87.7398681,41.9871316,702000
353  PARALLEL ST PALATINE,2018,203,1.0,5.0,3.0,1.0,0.0,2.0,1.0,1.0,1081.0,8712.0,58.0,-88.03473407,42.10728793,157000
6538 W 27TH ST,2009,202,1-story,9.0,3.0,Full basement,0.0,No,1.0,0.0,960.0,7500.0,97.0,-87.77838990000002,41.8416355,205000
1318  WASHINGTON AVE WILMETTE,2018,206,2.0,8.0,4.0,1.0,2.0,1.0,4.0,1.0,2652.0,6000.0,100.0,-87.71296823,42.07681268,1050000
625 N HAMLIN AVE PARK RIDGE,2018,203,1.0,5.0,2.0,1.0,0.0,2.0,1.0,0.0,1141.0,6600.0,61.0,-87.8500427,42.01887938,270000
22  PARK LN PARK RIDGE,2018,299,,,,,,,1.0,,,108343.0,10.0,-87.85950749,42.01384824,341000
18614 MAPLE AVE,2005,278,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,3006.0,10067.0,10.0,-87.72289909999998,41.5511219,336000
1207  WEBSTER LN DES PLAINES,2018,203,1.0,5.0,3.0,4.0,0.0,1.0,1.0,0.0,1259.0,10002.0,63.0,-87.89956281,42.03083287,215000
22507 BROOKWOOD DR,2005,203,1-story,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1348.0,10725.0,33.0,-87.5484509,41.4812778,159000
11256 S EMERALD,2011,203,1-story,6.0,3.0,Full basement,1.0,Yes,1.0,0.0,1225.0,4980.0,59.0,-87.64142509999998,41.6888855,80000
1732 N 77TH CT ELMWOOD PARK,2018,205,2.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1824.0,5625.0,70.0,-87.81965626,41.91163365,252000
1030 N CLARK,2007,299,,,,,,,,,,,,-87.63158979999999,41.901514,40000
6630 W 95TH ST 1D,2004,299,,,,,,,,,,,,-87.78626659999998,41.7199408,97900
900 S RIVER RD DES PLAINES,2018,299,,,,,,,1.0,,,19572.0,10.0,-87.88311988,42.03714237,147000
1881  PEBBLE BEACH CIR ELK GROVE VILLAGE,2018,299,,,,,,,1.0,,,397901.0,10.0,-88.05932325,42.01675522,126350
1306  SPRINGWOOD DR SCHAUMBURG,2018,299,,,,,,,1.0,,,389139.0,10.0,-88.04695786,42.02518819,115000
5601 S MASSASOIT AVE,2014,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1104.0,3969.0,53.0,-87.76562840000003,41.7906927,182500
4717 N BEACON 4S,2008,299,,,,,,,,,,,,-87.663815,41.96781,364500
6862 LODE DR  3A,2007,299,,,,,,,,,,,,-87.791252,41.694525,130000
1927  SUNDROP CT BARTLETT,2018,299,,,,,,,1.0,,,669756.0,10.0,-88.24939754,41.99537385,233000
1339 W WEBSTER AVE,2012,206,1-story,6.0,3.0,Full basement,0.0,No,2.0,0.0,1488.0,5671.0,110.0,-87.66231259999998,41.92139279999999,1900000
1295  KINGSDALE RD HOFFMAN ESTATES,2018,203,1.0,5.0,3.0,2.0,0.0,2.0,2.0,0.0,1681.0,11250.0,48.0,-88.11528131,42.04909799,248000
2717  EWING AVE EVANSTON,2018,205,2.0,5.0,2.0,1.0,0.0,2.0,1.0,0.0,1068.0,4125.0,112.0,-87.71236277,42.06750583,425000
1812 S FEDERAL 42,2009,299,,,,,,,,,,,,-87.6289311,41.8568336,436000
2110  ST JAMES ST ROLLING MEADOWS,2018,207,2.0,6.0,3.0,4.0,0.0,1.0,1.0,1.0,1236.0,10260.0,62.0,-88.00758373,42.086371,244000
6218 S EVANS,2013,211,2-story,11.0,5.0,Full basement,0.0,No,2.0,0.0,2554.0,3050.0,85.0,-87.6073944,41.7815745,157500
508 S CLINTON AVE,2006,205,2-story,7.0,4.0,Full basement,0.0,No,1.0,0.0,1992.0,7500.0,97.0,-87.798491,41.879274,739000
2508 W PRATT,2014,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1171.0,3630.0,53.0,-87.6929805,42.0051768,212500
141 W JACKSON BLVD,2005,299,,,,,,,,,,,,-87.6322485,41.8777595,246000
288  DOVER CIR INVERNESS,2018,278,2.0,7.0,3.0,1.0,2.0,1.0,2.0,1.0,2411.0,38638.0,41.0,-88.09043306,42.10536956,565000
2850 WALNUT RD,2007,203,1-story,7.0,3.0,crawlspace,0.0,Yes,2.0,0.0,1658.0,7200.0,49.0,-87.6869653,41.5633746,101000
38  PARK LN GOLF,2018,204,1.0,9.0,4.0,3.0,1.0,1.0,2.0,1.0,2556.0,11431.0,55.0,-87.79197992,42.05644521,560000
655  PERRIE DR ELK GROVE VILLAGE,2018,299,,,,,,,1.0,,,183759.0,10.0,-87.97279459,42.01740999,180000
1315  GREGORY AVE WILMETTE,2018,278,2.0,10.0,5.0,1.0,1.0,1.0,4.0,1.0,3525.0,8750.0,1.0,-87.71138195,42.0699141,1710000
1360 N SANDBURG TERR,2014,299,,,,,,,,,,,,-87.6324218,41.9074586,302500
7732 S CHRISTIANA,2006,202,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,960.0,3780.0,48.0,-87.70638879999998,41.7523903,216000
8036 W EASTWOOD AVE NORRIDGE,2018,209,2.0,8.0,4.0,1.0,2.0,1.0,3.0,1.0,5533.0,8828.0,9.0,-87.82910218,41.96398122,800000
1939 MISSION HILLS LN,2010,299,,,,,,,,,,,,-87.8765557,42.1187052,150000
1473  WINSLOWE DR PALATINE,2018,299,,,,,,,1.0,,,555024.0,10.0,-88.02055431,42.13442657,56000
13760 DIXON WAY DR,2004,204,1-story,9.0,4.0,Partial basement,1.0,Yes,3.0,1.0,2727.0,24415.0,7.0,-87.95473100000002,41.6522884,460000
7619 W 174TH ST,2004,234,multilevel,5.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1136.0,6250.0,34.0,-87.80401579999999,41.5733633,215000
8704  GREGORY LN DES PLAINES,2018,299,,,,,,,1.0,,,437223.0,10.0,-87.84324958,42.05637253,125000
427 LENOX,2007,205,2-story,6.0,3.0,Full basement,1.0,No,1.0,1.0,1715.0,7050.0,82.0,-87.78528730000002,41.904449,835000
1105 W CHICAGO AVE 201,2015,211,3-story,18.0,8.0,Full basement,0.0,No,5.0,0.0,4216.0,2856.0,122.0,-87.65563940000001,41.8960466,800000
7824  LOTUS AVE MORTON GROVE,2018,278,2.0,8.0,4.0,1.0,2.0,1.0,2.0,1.0,3074.0,5609.0,12.0,-87.76378293,42.02362215,590000
6297 MISTY PINES CRT 4,2012,299,,,,,,,,,,,,-87.7703805,41.55733370000001,99000
770  PEARSON ST DES PLAINES,2018,299,,,,,,,1.0,,,73248.0,10.0,-87.88708613,42.03960753,126000
18343 ROSE ST,2014,234,multilevel,7.0,3.0,Partial basement,0.0,No,1.0,1.0,1464.0,8750.0,47.0,-87.56187129999998,41.5619683,124900
1633 N 20TH,2006,203,?,6.0,3.0,Full basement,0.0,No,1.0,1.0,1719.0,4125.0,52.0,-87.85794870000002,41.903517,320000
10425 LAVERGNE,2005,203,1-story,5.0,2.0,crawlspace,0.0,No,1.0,0.0,1016.0,10050.0,53.0,-87.7447495,41.7027594,185000
17306 LORENZ AVE,2013,203,1-story,5.0,3.0,Slab basement,0.0,Yes,1.0,0.0,1295.0,6250.0,54.0,-87.54211590000001,41.5807503,132900
4630  SCOTT ST SCHILLER PARK,2018,202,1.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,946.0,5900.0,54.0,-87.87470025,41.96342578,140000
7020  HAMILTON DR NILES,2018,234,4.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,1335.0,6302.0,55.0,-87.80225089,42.03522114,337500
18 W MAPLE LN,2015,295,?,7.0,3.0,Full basement,1.0,Yes,2.0,1.0,2811.0,8448.0,22.0,-87.8410185,41.7257605,262500
1093  ELM ST WINNETKA,2018,278,2.0,9.0,5.0,1.0,3.0,1.0,3.0,1.0,3732.0,8850.0,6.0,-87.74512561,42.10626974,1420000
16542 WOOD ST,2006,234,multilevel,5.0,3.0,Partial basement,0.0,No,1.0,1.0,960.0,6400.0,48.0,-87.6610222,41.5887188,96000
424 N SALEM DR SCHAUMBURG,2018,207,2.0,6.0,3.0,2.0,0.0,1.0,2.0,1.0,1632.0,11041.0,40.0,-88.10141587,42.03503692,266000
1670  MILL ST DES PLAINES,2018,299,,,,,,,1.0,,,34090.0,10.0,-87.88258555,42.04121725,217000
9030 S LUELLA AV,2003,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,921.0,3750.0,53.0,-87.5697673,41.7307011,135000
6106 S MEADE,2005,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1007.0,3780.0,52.0,-87.77435390000002,41.7811519,270000
8205 S KENWOOD,2015,204,1-story,8.0,4.0,Full basement,0.0,Yes,2.0,0.0,2125.0,3750.0,82.0,-87.59142109999998,41.7457316,167000
1811 GROVE,2004,211,2-story,18.0,9.0,Full basement,0.0,No,3.0,2.0,4305.0,4080.0,81.0,-87.79366850000002,41.8505874,345000
8128 N FARNSWORTH DR NILES,2018,234,4.0,5.0,3.0,3.0,0.0,2.0,1.0,1.0,1282.0,7109.0,49.0,-87.82949545,42.02770301,355000
8330  HARDING AVE SKOKIE,2018,203,1.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0,1300.0,4920.0,61.0,-87.72714602,42.03265077,299000
10441 CIRCLE DR 18C,2013,299,,,,,,,,,,,,-87.762845,41.7040859,65000
125 N ROBERTA AVE NORTHLAKE,2018,207,2.0,8.0,5.0,1.0,0.0,1.0,2.0,0.0,1688.0,7500.0,60.0,-87.8932306,41.91057394,215000
4915 N WOLCOTT AVE 2B,2008,299,,,,,,,,,,,,-87.676055,41.9710084,254500
6200 N KEELER AVE,2010,203,1-story,5.0,3.0,Full basement,1.0,Yes,1.0,0.0,1056.0,4410.0,56.0,-87.7340564,41.9938475,275000
1325 S OLD WILKE RD ARLINGTON HEIGHTS,2018,299,,,,,,,1.0,,,199784.0,10.0,-88.00599909,42.0597722,140000
7246 S FAIRFIELD,2005,211,2-story,10.0,4.0,Full basement,0.0,No,2.0,0.0,2458.0,3780.0,83.0,-87.69202890000003,41.7613519,290000
8700  HAMLIN AVE SKOKIE,2018,205,2.0,6.0,3.0,1.0,0.0,1.0,2.0,1.0,1815.0,4920.0,63.0,-87.72334659,42.03913254,490000
5137 S LECLAIRE AVE,2005,202,?,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1537.0,3780.0,53.0,-87.74997979999998,41.7990866,255000
91 19TH ST,2003,203,?,6.0,3.0,Full basement,0.0,No,2.0,0.0,1071.0,4687.0,92.0,-87.6441811,41.49799229999999,82000
4732 N ORIOLE AVE NORRIDGE,2018,203,1.0,5.0,2.0,4.0,1.0,1.0,1.0,0.0,1024.0,5762.0,57.0,-87.81674378,41.96634477,160000
2024  MAPLE AVE EVANSTON,2018,211,2.0,8.0,4.0,1.0,0.0,2.0,2.0,0.0,1710.0,3400.0,123.0,-87.68505097,42.05488957,402500
4934  KIRK ST SKOKIE,2018,299,,,,,,,1.0,,,4960.0,10.0,-87.7514967,42.02474205,100000
9201  DRAKE AVE EVANSTON,2018,299,,,,,,,1.0,,,85861.0,10.0,-87.71620711,42.04873382,235000
437  SPRINGWOOD DR ROSELLE,2018,278,2.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,2845.0,10637.0,29.0,-88.07757633,41.99196389,435000
1900 W DIVISION,2004,203,1-story,4.0,2.0,Full basement,0.0,No,1.0,0.0,1012.0,2568.0,118.0,-87.67496820000002,41.9034961,415000
6737 N LORON AVE,2003,207,2-story,5.0,3.0,Slab basement,0.0,No,2.0,0.0,1665.0,6200.0,60.0,-87.77247559999998,42.0034768,487500
375 W ERIE 203,2011,299,,,,,,,,,,,,-87.638941,41.893837,305000
4432 N SPAULDING AVE,2013,204,?,9.0,4.0,Partial basement,0.0,Yes,2.0,0.0,2050.0,3750.0,103.0,-87.71104620000001,41.9621616,500000
1742 W ERIE ST,2007,278,2-story,10.0,4.0,Full basement,0.0,Yes,3.0,1.0,2662.0,3125.0,4.0,-87.6714243,41.8935029,855000
245 W BERKLEY LN HOFFMAN ESTATES,2018,295,2.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,1465.0,3217.0,40.0,-88.08591276,42.04293034,155101
9220 S SPROAT,2005,203,?,6.0,3.0,Slab basement,0.0,No,1.0,0.0,1037.0,6650.0,54.0,-87.7473263,41.724588,215000
1333  MAPLE AVE EVANSTON,2018,299,,,,,,,1.0,,,24649.0,10.0,-87.68465134,42.04235634,315000
2500 N SEMINARY AVE 2W,2015,299,,,,,,,,,,,,-87.656529,41.9273955,465500
3227 WALLACE,2004,234,multilevel,5.0,2.0,Full basement,0.0,No,1.0,1.0,768.0,6250.0,34.0,-87.63145949999998,41.4723885,133000
2144 LINCOLN PARK WEST,2011,299,,,,,,,,,,,,-87.636595,41.9215283,242000
4733 W MONTANA,2004,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1150.0,3570.0,78.0,-87.7452493,41.92504210000001,265000
7320 W 153RD,2014,299,,,,,,,,,,,,-87.79745849999998,41.612669,133000
1154  PARKWOOD AVE PARK RIDGE,2018,210,1.0,7.0,3.0,1.0,1.0,2.0,1.0,0.0,2008.0,18725.0,63.0,-87.85708326,42.02829558,547500
2345 N OLD HICKS RD PALATINE,2018,299,,,,,,,1.0,,,515753.0,10.0,-88.01820567,42.1512424,111000
524 S SPRING AV,2009,205,2-story,8.0,5.0,Slab basement,1.0,No,2.0,0.0,1848.0,6750.0,81.0,-87.87577399999998,41.80406,626000
3017 N DAMEN AV  2,2011,299,,,,,,,,,,,,-87.67793409999999,41.93648560000001,304000
1400 N STATE PKWY,2005,299,,,,,,,,,,,,-87.62917159999998,41.9079549,222000
8936  PARKSIDE AVE DES PLAINES,2018,299,,,,,,,1.0,,,710117.0,10.0,-87.84488204,42.0422696,98000
1502  SYRACUSE LN SCHAUMBURG,2018,203,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1530.0,10011.0,50.0,-88.11701662,42.00918517,239750
7523  KARLOV AVE SKOKIE,2018,203,1.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1039.0,4059.0,85.0,-87.73049262,42.01790742,218000
8060 W LYONS ST NILES,2018,295,1.0,5.0,2.0,1.0,0.0,2.0,1.0,1.0,852.0,3028.0,50.0,-87.82775703,42.05065459,193000
2320 SUNNYSIDE,2007,203,1-story,5.0,2.0,Full basement,2.0,Yes,1.0,1.0,1238.0,8840.0,56.0,-87.8869038,41.8459255,525000
526 W ROSCOE 2C,2013,299,,,,,,,,,,,,-87.6431409,41.9436377,70750
5841 SUPERIOR ST,2013,203,1-story,5.0,3.0,crawlspace,0.0,Yes,1.0,0.0,1157.0,7150.0,52.0,-87.9151314,41.891523,124900
6325 N LENOX,2006,205,2-story,6.0,4.0,Slab basement,1.0,No,1.0,1.0,1904.0,5625.0,64.0,-87.7528528,41.9960718,599900
65  EDEN RD ELK GROVE VILLAGE,2018,234,4.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,1311.0,7786.0,52.0,-88.00073988,42.00224618,330000
3100  BAYSIDE DR PALATINE,2018,299,,,,,,,1.0,,,858478.0,10.0,-88.00774132,42.13429815,75510
1954 N DAYTON,2008,206,3-story,12.0,6.0,Full basement,0.0,Yes,2.0,1.0,3274.0,3000.0,128.0,-87.6500396,41.9175593,1625000
P O BOX 167327,2006,203,1-story,5.0,3.0,Full basement,0.0,Yes,2.0,0.0,1107.0,2976.0,7.0,-87.62979820000002,41.8781136,295000
5448 N MELVINA AVE,2009,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,0.0,720.0,3720.0,70.0,-87.783731,41.9807295,250000
3314 N LAKE SHORE DR7A,2013,299,,,,,,,,,,,,-87.6406495,41.9427118,540000
7722 S LINDER,2012,203,?,6.0,3.0,Slab basement,0.0,No,1.0,0.0,1123.0,7282.0,65.0,-87.758853,41.75156079999999,90000
8454 S HONORE ST,2010,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,0.0,998.0,4187.0,56.0,-87.66953670000002,41.7396417,131000
2039 N KOSTNER AV,2005,211,2-story,9.0,5.0,Full basement,0.0,No,2.0,0.0,1830.0,3350.0,103.0,-87.7360671,41.9182388,289414
4250 N MARINE 1402,2007,299,,,,,,,,,,,,-87.64747659999998,41.960242,315000
1245 S 16TH AVE,2006,203,1-story,6.0,4.0,Full basement,0.0,No,2.0,0.0,1472.0,5280.0,84.0,-87.8519253,41.87529970000001,230000
P O BOX 957052,2013,202,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,928.0,3750.0,83.0,-88.1227199,42.0629915,175000
677  CROSS CREEK DR ROSELLE,2018,299,,,,,,,1.0,,,296571.0,10.0,-88.06000878,41.99530208,151500
5114  CAROL AVE SKOKIE,2018,211,3.0,12.0,6.0,2.0,0.0,1.0,3.0,2.0,5188.0,4650.0,42.0,-87.75505867,42.04018857,1
311  RALEIGH RD KENILWORTH,2018,204,5.0,13.0,5.0,1.0,3.0,1.0,3.0,1.0,4618.0,17500.0,60.0,-87.70871889,42.09111078,1500000
520 W HURON 210,2005,299,,,,,,,,,,,,-87.6420032,41.8949775,515000
1132  HIGHBURY DR ELGIN,2018,203,1.0,5.0,3.0,2.0,0.0,2.0,1.0,0.0,1176.0,7476.0,39.0,-88.24717556,42.03874386,60000
105  JILL LN STREAMWOOD,2018,203,1.0,6.0,3.0,2.0,0.0,1.0,2.0,1.0,1282.0,8450.0,45.0,-88.14818022,42.03452720000001,150000
400 PARK AV  508,2003,299,,,,,,,,,,,,-87.571089,41.59653,48000
150  FULLER LN WINNETKA,2018,206,2.0,9.0,5.0,1.0,2.0,1.0,3.0,1.0,3318.0,7650.0,76.0,-87.71527401,42.09484221,1495000
6950 W FOREST PRESERVE DR NORRIDGE,2018,299,,,,,,,1.0,,,53770.0,10.0,-87.80205056,41.95684679,100000
1537  SANDBURG DR SCHAUMBURG,2018,278,2.0,9.0,4.0,1.0,1.0,1.0,2.0,1.0,3151.0,10695.0,28.0,-88.04047874,42.02974920000001,590000
10530 CAMELOT,2003,278,2-story,7.0,3.0,Partial basement,1.0,Yes,2.0,1.0,2225.0,6480.0,27.0,-87.88579200000002,41.8588232,325000
200 PARK AVE,2005,299,,,,,,,,,,,,-87.57279890000002,41.5982566,144000
1008  ASBURY CT WINNETKA,2018,209,2.0,11.0,5.0,1.0,7.0,1.0,4.0,2.0,5702.0,21955.0,9.0,-87.76313181,42.11930686,2350000
710 E CUNNINGHAM DR PALATINE,2018,278,2.0,8.0,4.0,1.0,1.0,1.0,3.0,1.0,3056.0,9300.0,18.0,-88.02570107,42.132229,485000
2439 W 51ST ST,2006,211,?,8.0,4.0,Full basement,0.0,No,2.0,1.0,1806.0,3125.0,106.0,-87.68586450000002,41.8009296,242000
17515 SANDALWOOD DR.,2015,299,,,,,,,,,,,,-87.7952768,41.57267020000001,63100
1104  CARPENTER DR PALATINE,2018,204,1.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,2360.0,9000.0,38.0,-88.01665938,42.12583931,293100
8354 S WOLCOTT AVE,2004,205,2-story,5.0,3.0,Slab basement,0.0,No,1.0,0.0,1398.0,5250.0,69.0,-87.6707727,41.74140300000001,110500
9273 N MARYLAND ST NILES,2018,234,4.0,5.0,3.0,3.0,0.0,1.0,2.0,1.0,1239.0,6300.0,48.0,-87.82911737,42.05012195,249000
122 W COMFORT ST PALATINE,2018,203,1.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,1071.0,8580.0,58.0,-88.04713639,42.11921652,245000
20 E 57TH ST,2015,299,,,,,,,,,,,,-87.9276202,41.7852718,163500
400 W ONTARIO ST 606,2015,299,,,,,,,,,,,,-87.638723,41.8934007,405000
5889 N HARLEM,2005,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1040.0,2924.0,41.0,-87.806535,41.988368,389000
3239 S 50TH CT 102,2007,299,,,,,,,,,,,,-87.749741,41.8331639,117000
9321  AVERS AVE EVANSTON,2018,206,2.0,8.0,4.0,1.0,1.0,1.0,3.0,1.0,2975.0,9170.0,61.0,-87.72357812,42.05069088,647500
1934 S 19TH AVE,2010,202,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,967.0,4020.0,81.0,-87.8559538,41.8678904,125000
1625 N WHIPPLE,2005,202,1-story,6.0,2.0,Full basement,0.0,No,1.0,0.0,800.0,3899.0,115.0,-87.7031554,41.9109978,240000
9338 S LAFLIN ST,2010,207,2-story,6.0,3.0,Full basement,1.0,No,1.0,1.0,1203.0,3750.0,58.0,-87.6605598,41.7236764,137500
4838 W AINSLIE,2006,203,1-story,6.0,2.0,Full basement,0.0,No,1.0,0.0,1041.0,3720.0,74.0,-87.74943359999997,41.9700408,505000
5553 S SAWYER,2006,211,2-story,11.0,5.0,Full basement,0.0,No,2.0,0.0,2712.0,3780.0,80.0,-87.7044642,41.7919761,290000
14535 S KEDVALE,2006,203,1-story,6.0,3.0,Full basement,0.0,No,1.0,1.0,1126.0,6700.0,37.0,-87.7211483,41.6280483,219000
4844  FARGO AVE SKOKIE,2018,203,1.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,1183.0,6820.0,62.0,-87.74956819,42.01657961,285000
7930 S HONORE ST,2010,211,2-story,12.0,6.0,Full basement,0.0,No,3.0,0.0,3937.0,4650.0,47.0,-87.6697293,41.7493622,200000
6657 W 63RD PL,2015,203,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,1052.0,3594.0,46.0,-87.788342,41.7764103,175000
4401 W JEAN ST,2013,203,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,0.0,1300.0,7438.0,43.0,-87.7296708,41.6768631,198000
1733 W IRVING PK 305,2006,299,,,,,,,,,,,,-87.6729872,41.9538671,329000
8241  KILDARE AVE SKOKIE,2018,278,2.0,8.0,4.0,1.0,1.0,1.0,3.0,1.0,3229.0,6027.0,40.0,-87.73494482,42.03108088,590000
9119 N KNIGHT AVE DES PLAINES,2018,278,2.0,8.0,4.0,1.0,1.0,2.0,2.0,1.0,2255.0,8844.0,33.0,-87.84378571,42.0460245,381000
906 CEDAR,2011,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1025.0,6660.0,50.0,-87.9253985,41.8716242,85000
1297 CHATHAM DR,2015,278,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,2490.0,10927.0,4.0,-87.98387209999999,41.66181470000001,375000
1004  MOHAWK RD WILMETTE,2018,208,2.0,10.0,5.0,1.0,2.0,1.0,3.0,2.0,4879.0,11811.0,1.0,-87.74339697,42.08142713,1975000
3600 LAKE SHORE 916,2013,299,,,,,,,,,,,,-87.64418420000001,41.9489369,99900
2408 S 20TH AV,2003,207,2-story,6.0,4.0,Full basement,1.0,No,1.0,1.0,1561.0,6900.0,58.0,-87.8568362,41.8598785,177000
15345 WEXFORD LANE,2014,278,2-story,8.0,4.0,Partial basement,1.0,Yes,2.0,0.0,2399.0,10200.0,28.0,-87.838667,41.6110656,320000
12716 S LACROSSE AVE,2008,299,,,,,,,,,,,,-87.740538,41.661294,105000
15529 S TUDOR RD,2008,207,2-story,9.0,4.0,Partial basement,0.0,Yes,2.0,0.0,1416.0,7700.0,44.0,-87.7652344,41.6091499,235500
5333 S MOBILE,2005,234,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1102.0,3125.0,26.0,-87.779096,41.79512800000001,285000
7017 W NEWPORT AVE,2012,203,1-story,4.0,2.0,Full basement,0.0,Yes,1.0,0.0,930.0,3750.0,55.0,-87.8021145,41.9424269,247000
9306 N LINCOLN AVE DES PLAINES,2018,202,1.0,5.0,2.0,1.0,0.0,2.0,1.0,0.0,820.0,13514.0,69.0,-87.84325701,42.04926555,155000
5146 S MOODY,2006,202,2-story,8.0,4.0,Full basement,0.0,Yes,2.0,1.0,1738.0,3906.0,1.0,-87.7761988,41.7983918,450000
15814 UNION AV,2006,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1032.0,3750.0,57.0,-87.6467131,41.6100344,100000
6311 GREAT PLAINS AVE,2014,299,,,,,,,,,,,,-87.76900490000001,41.5093535,110000
231  GEORGE ST BARRINGTON,2018,234,4.0,4.0,2.0,3.0,0.0,1.0,1.0,1.0,994.0,8505.0,40.0,-88.12601551,42.15089332,179900
18425 S HOOD AVE,2003,234,multilevel,7.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1951.0,8264.0,46.0,-87.64830529999998,41.5547348,164500
